PiratesID,PlayerName,split,C,1B,2B,3B,SS,LF,CF,RF,DH,Total,,,Runs Added
439B816A-C971-4D38-A8AD-6C304FB24322,"Bae, Ji Hwan",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
441B8645-CC0E-4E50-BA37-647D47E7285C,"Wilson, Eli",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
45BA15E2-1D09-41EF-91E5-B0441AAF2F22,"Cabbage, Trey",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
468054DE-46E3-41E7-B681-E57261819976,"Escotto, Maikol",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
47DEAFFD-4F56-446B-A802-798056590644,"White, Lonnie",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
498A1C60-5504-4B37-B55E-2A9C7603295C,"Alfonzo, Omar",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
4D26FA77-78AC-4D93-AB10-33B66EE4C570,"Dixon, Brenden",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
5DF0B280-C557-4E6F-BAE4-2780363A7267,"Delgado, Keiner",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
678A7484-50D4-4305-9442-1B7CA2C48EC1,"Palacios, Joshua",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
68D06A46-DD37-4D89-99B2-0CE91D3ACE4A,"Shockley, Dylan",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
7011D16D-110A-44E7-9035-EE4CF2B47F31,"Jarvis, Mike",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
72F658AD-A5AF-4F85-AA87-A7048ECF9699,"Terrero, Enmanuel",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
764748EA-31C3-4B4A-86E0-803109CED79C,"Berg, Derek",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
78EEAFE7-DBA4-4F96-9896-D91C716D799B,"Nunez, Lennyn",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
7ACE6FC2-1810-40F1-BE44-DE54B257BC61,"Campana, Sergio",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
91E52D55-E815-45EB-BF2F-BFBE93FEC5FB,"Scherrer, Luke",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
9C4A5E1B-EEF2-4F1E-8EEB-A5E424392C04,"Johnson, Termarr",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
9EBA4841-31B6-418A-940F-403DCB051683,"Jebb, Mitch",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
A00F0D4C-5055-4972-8FEB-F8A5341D3E27,"Gray, Tristan",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
A2F4B30D-2928-4AE4-B04F-9FF5D05056B6,"Cheng, Tsung-Che",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
A470C81E-B887-4500-8937-088182BEC787,"Hendrie, Wyatt",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
A49D124E-9309-415B-8F90-62026B20D292,"Brown, Luke",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
B0334A4A-75F9-43D0-A820-FB2B0798F217,"Gonzalez, Tres",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
B43A2CE1-AF7D-4BA1-A79A-1483ED51DB87,"Rivero, Jonathan",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
B64CE026-9BA7-4E28-944C-482A32EA05AA,"Glenn, Jackson",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
BA0774C4-01F1-47FA-8A5E-03B1B4B41747,"Fraizer, Matthew",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
BC0CBE2C-6F82-4491-BDC6-3F4F82E3026E,"De Los Santos, Yordany",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
C312AFAE-FE8F-4C21-A561-252C26D7EA6C,"Toledo, Jeral",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
C523F1D6-064B-40D2-85AD-54707F92ED3F,"Castillo, Jesus",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
D041EFCF-8A8E-4D24-A562-D54B77282275,"Planchart, Geovanny",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
D97AA147-B8C5-40ED-8C6D-5ABFEB536DA8,"Sosa, Miguel",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
DB98F74F-7181-4115-9CF0-B1751346EABE,"Zorrilla, John",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
E5AAB108-6DEA-4780-879F-5AD9CAA8F315,"Pena, Jhonson",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
E965C63B-D3DF-4C77-AC42-86315D3322E7,"Florentino, Edward",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
ED5E2598-AC2E-4DE9-8CAC-F7E83584E907,"Delay, Jason",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
F19053D6-0F22-4FC9-AD36-C7C90D075D4F,"Sightler, Josiah",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
F78772F1-5A9B-4DF0-B515-B8403A7786B1,"Machado, Juan",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
FC013411-B68B-43E8-8C6D-819CF55C2423,"Head, Hudson",vL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
